?cls	?xref
<http://purl.obolibrary.org/obo/AISM_0004289>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000023"
<http://purl.obolibrary.org/obo/AISM_0004305>	"http://purl.obolibrary.org/obo/HAO_0001098"
<http://purl.obolibrary.org/obo/BSPO_0000084>	"FBql:00005843"
<http://purl.obolibrary.org/obo/AISM_0004291>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000025"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"HAO:0000217"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"TGMA:0000024"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"FBbt:00004508"
<http://purl.obolibrary.org/obo/UBERON_0000018>	"BTO:0001921"
<http://purl.obolibrary.org/obo/UBERON_0000018>	<http://en.wikipedia.org/wiki/Compound_eye>
<http://purl.obolibrary.org/obo/UBERON_0000018>	"Wikipedia:Compound_eye"
<http://purl.obolibrary.org/obo/AISM_0000003>	"http://purl.obolibrary.org/obo/UBERON_6004475"
<http://purl.obolibrary.org/obo/AISM_0000003>	"http://purl.obolibrary.org/obo/HAO_0000909"
<http://purl.obolibrary.org/obo/AISM_0000003>	"http://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00004475"
<http://purl.obolibrary.org/obo/BSPO_0000070>	"FBql:00005841"
<http://purl.obolibrary.org/obo/BSPO_0000062>	"FBql:00005853"
<http://purl.obolibrary.org/obo/BSPO_0000062>	"FBcv:0000058"
<http://purl.obolibrary.org/obo/AISM_0004296>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000030"
<http://purl.obolibrary.org/obo/AISM_0000137>	"http://purl.obolibrary.org/obo/UBERON_0001054"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"MIAA:0000150"
<http://purl.obolibrary.org/obo/UBERON_0001001>	<http://en.wikipedia.org/wiki/Arthropod_exoskeleton>
<http://purl.obolibrary.org/obo/UBERON_0001001>	"EFO:0000944"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"FBbt:00004970"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"MAT:0000150"
<http://purl.obolibrary.org/obo/UBERON_0001001>	"HAO:0000240"
<http://purl.obolibrary.org/obo/AISM_0004294>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000028"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"UMLS:C0935626"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"AEO:0000094"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<http://www.snomedbrowser.com/Codes/Details/244485009>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"BSA:0000121"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EHDAA:500"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"VHOG:0001407"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"BTO:0000202"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"NCIT:C33224"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EMAPA:35955"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"CALOHA:TS-2043"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"MESH:D012679"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"GAID:63"
<http://purl.obolibrary.org/obo/UBERON_0000020>	<http://linkedlifedata.com/resource/umls/id/C0935626>
<http://purl.obolibrary.org/obo/UBERON_0000020>	"EHDAA2:0001824"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"WBbt:0006929"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"FBbt:00005155"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"HAO:0000930"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"SCTID:244485009"
<http://purl.obolibrary.org/obo/UBERON_0000020>	"MA:0000017"
<http://purl.obolibrary.org/obo/BSPO_0000072>	"FBql:00005849"
<http://purl.obolibrary.org/obo/CL_0000000>	"CALOHA:TS-2035"
<http://purl.obolibrary.org/obo/CL_0000000>	"MESH:D002477"
<http://purl.obolibrary.org/obo/CL_0000000>	"XAO:0003012"
<http://purl.obolibrary.org/obo/CL_0000000>	"VHOG:0001533"
<http://purl.obolibrary.org/obo/CL_0000000>	"GO:0005623"
<http://purl.obolibrary.org/obo/CL_0000000>	"FBbt:00007002"
<http://purl.obolibrary.org/obo/CL_0000000>	"FMA:68646"
<http://purl.obolibrary.org/obo/CL_0000000>	"WBbt:0004017"
<http://purl.obolibrary.org/obo/CL_0000000>	"KUPO:0000002"
<http://purl.obolibrary.org/obo/CL_0000362>	"FMA:62411"
<http://purl.obolibrary.org/obo/CL_0000362>	"MESH:D000078404"
<http://purl.obolibrary.org/obo/CL_0000362>	"CALOHA:TS-0283"
<http://purl.obolibrary.org/obo/CL_0000362>	"BTO:0001470"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"UMLS:C0029954"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"EFO:0000974"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"MESH:D010057"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"XAO:0003052"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"EMAPA:18984"
<http://purl.obolibrary.org/obo/UBERON_0000993>	<http://en.wikipedia.org/wiki/Oviduct>
<http://purl.obolibrary.org/obo/UBERON_0000993>	"BTO:0000980"
<http://purl.obolibrary.org/obo/UBERON_0000993>	<http://linkedlifedata.com/resource/umls/id/C0029954>
<http://purl.obolibrary.org/obo/UBERON_0000993>	"ZFA:0000560"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"TAO:0000560"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"VHOG:0001136"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"Wikipedia:Oviduct"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"MAT:0000126"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"MIAA:0000126"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"AAO:0010533"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"BSA:0000083"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"NCIT:C77957"
<http://purl.obolibrary.org/obo/UBERON_0000993>	"GAID:366"
<http://purl.obolibrary.org/obo/UBERON_0000047>	"Wikipedia:Eye#Simple_eyes"
<http://purl.obolibrary.org/obo/UBERON_0000047>	"TGMA:0000729"
<http://purl.obolibrary.org/obo/UBERON_0000047>	<http://en.wikipedia.org/wiki/Eye#Simple_eyes>
<http://purl.obolibrary.org/obo/BSPO_0000085>	"FBql:00005846"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"ZFA:0000008"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"GAID:571"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BIRNLEX:796"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MBA:8"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EHDAA:2641"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BAMS:Br"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EHDAA:6485"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"XAO:0000010"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://www.snomedbrowser.com/Codes/Details/258335003>
<http://purl.obolibrary.org/obo/UBERON_0000955>	"galen:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MIAA:0000098"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EMAPA:16894"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"neuronames:21"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"FMA:50801"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"ABA:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://linkedlifedata.com/resource/umls/id/C1269537>
<http://purl.obolibrary.org/obo/UBERON_0000955>	"UMLS:C1269537"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BILA:0000135"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EHDAA2:0000183"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EFO:0000302"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MAT:0000098"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"DHBA:10155"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"UMLS:C0006104"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BAMS:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"TAO:0000008"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"AAO:0010478"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"HBA:4005"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"EV:0100164"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"NCIT:C12439"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MA:0000168"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://en.wikipedia.org/wiki/Brain>
<http://purl.obolibrary.org/obo/UBERON_0000955>	"FBbt:00005095"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MESH:D001921"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"SCTID:258335003"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"Wikipedia:Brain"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"BTO:0000142"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"PBA:3999"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"VHOG:0000157"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"MBA:997"
<http://purl.obolibrary.org/obo/UBERON_0000955>	"CALOHA:TS-0095"
<http://purl.obolibrary.org/obo/UBERON_0000955>	<http://linkedlifedata.com/resource/umls/id/C0006104>
<http://purl.obolibrary.org/obo/AISM_0004285>	"https://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000006"
<http://purl.obolibrary.org/obo/BSPO_0000079>	"FBql:00005842"
<http://purl.obolibrary.org/obo/AISM_0000004>	"http://purl.obolibrary.org/obo/HAO_0000221"
<http://purl.obolibrary.org/obo/AISM_0004292>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000026"
<http://purl.obolibrary.org/obo/CL_0000150>	"FMA:86494"
<http://purl.obolibrary.org/obo/CL_0000150>	"CALOHA:TS-2085"
<http://purl.obolibrary.org/obo/UBERON_6007289>	"FBbt:00007289"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"BILA:0000083"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"FBbt:00003125"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"AAO:0010023"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"FMA:45615"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"EHDAA2:0000726"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"EMAPA:16247"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"galen:AlimentaryTract"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"TAO:0000112"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"BTO:0000545"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"TGMA:0001819"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"VHOG:0000309"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"WBbt:0005743"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"ZFA:0000112"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"BTO:0000511"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"EHDAA:518"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"UMLS:C0017189"
<http://purl.obolibrary.org/obo/UBERON_0001555>	<http://linkedlifedata.com/resource/umls/id/C0017189>
<http://purl.obolibrary.org/obo/UBERON_0001555>	"MA:0000917"
<http://purl.obolibrary.org/obo/UBERON_0001555>	"NCIT:C34082"
<http://purl.obolibrary.org/obo/AISM_0004286>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000016"
<http://purl.obolibrary.org/obo/BSPO_0000077>	"FBql:00005852"
<http://purl.obolibrary.org/obo/BSPO_0000083>	"FBql:00005847"
<http://purl.obolibrary.org/obo/UBERON_0014895>	"HAO:0001922"
<http://purl.obolibrary.org/obo/AISM_0004297>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000031"
<http://purl.obolibrary.org/obo/AISM_0004283>	"http://purl.obolibrary.org/obo/HAO_0000929"
<http://purl.obolibrary.org/obo/AISM_0004283>	"http://flybase.org/cgi-bin/fbcvq.html?query=FBbt:00000003"
<http://purl.obolibrary.org/obo/AISM_0004290>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000024"
<http://purl.obolibrary.org/obo/UBERON_0000161>	"SCTID:91837002"
<http://purl.obolibrary.org/obo/UBERON_0000161>	"FMA:3724"
<http://purl.obolibrary.org/obo/UBERON_0000161>	<http://www.snomedbrowser.com/Codes/Details/91837002>
<http://purl.obolibrary.org/obo/AISM_0004288>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000022"
<http://purl.obolibrary.org/obo/BSPO_0000061>	"FBql:00005852"
<http://purl.obolibrary.org/obo/BSPO_0000061>	"FBcv:0000066"
<http://purl.obolibrary.org/obo/UBERON_0001002>	"BTO:0001600"
<http://purl.obolibrary.org/obo/UBERON_0001002>	<http://en.wikipedia.org/wiki/Cuticle>
<http://purl.obolibrary.org/obo/BSPO_0000082>	"FBql:00005844"
<http://purl.obolibrary.org/obo/PR_Q9V7U0>	"UniProtKB:Q9V7U0"
<http://purl.obolibrary.org/obo/CL_0000066>	"FMA:66768"
<http://purl.obolibrary.org/obo/CL_0000066>	"CALOHA:TS-2026"
<http://purl.obolibrary.org/obo/CL_0000066>	"FBbt:00000124"
<http://purl.obolibrary.org/obo/CL_0000066>	"CARO:0000077"
<http://purl.obolibrary.org/obo/CL_0000066>	"WBbt:0003672"
<http://purl.obolibrary.org/obo/CL_0000066>	"BTO:0000414"
<http://purl.obolibrary.org/obo/UBERON_0004175>	"FMA:45652"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"SCTID:21082005"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"CALOHA:TS-1315"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"galen:Mouth"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"BTO:0001090"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"ZFA:0000547"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"MESH:D009055"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"MAT:0000038"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"FMA:49184"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"Wikipedia:Mouth"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"MA:0002474"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"EFO:0000825"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"BTO:0004698"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"http://purl.obolibrary.org/obo/uberon/images/lamprey_sucker_rosava_3238889218.jpg"
<http://purl.obolibrary.org/obo/UBERON_0000165>	<http://purl.obolibrary.org/obo/uberon/images/lamprey_sucker_rosava_3238889218.jpg>
<http://purl.obolibrary.org/obo/UBERON_0000165>	"TAO:0000547"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"EHDAA:542"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"AAO:0010355"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"VHOG:0000280"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"ZFA:0000590"
<http://purl.obolibrary.org/obo/UBERON_0000165>	<http://en.wikipedia.org/wiki/Mouth>
<http://purl.obolibrary.org/obo/UBERON_0000165>	"EHDAA2:0001326"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"MIAA:0000038"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"TGMA:0000131"
<http://purl.obolibrary.org/obo/UBERON_0000165>	<http://www.snomedbrowser.com/Codes/Details/21082005>
<http://purl.obolibrary.org/obo/UBERON_0000165>	"TAO:0000590"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"GAID:75"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"FBbt:00003126"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"EMAPA:16262"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"VHOG:0000812"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"TADS:0000040"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"MA:0000341"
<http://purl.obolibrary.org/obo/UBERON_0000165>	"XAO:0003029"
<http://purl.obolibrary.org/obo/AISM_0004295>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000029"
<http://purl.obolibrary.org/obo/BSPO_0000417>	"FMA:11361"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"TGMA:0000540"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"HAO:0000933"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"MIAA:0000163"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"Wikipedia:Sensillum"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"BTO:0001237"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"MAT:0000163"
<http://purl.obolibrary.org/obo/UBERON_0002536>	"FBbt:00007152"
<http://purl.obolibrary.org/obo/UBERON_0002536>	<http://en.wikipedia.org/wiki/Sensillum>
<http://purl.obolibrary.org/obo/UBERON_0002536>	"EFO:0000939"
<http://purl.obolibrary.org/obo/AISM_0004293>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000027"
<http://purl.obolibrary.org/obo/BSPO_0000080>	"FBql:00005845"
<http://purl.obolibrary.org/obo/BSPO_0000378>	"FBql:00005853"
<http://purl.obolibrary.org/obo/AISM_0004287>	"http://flybase.org/cgi-bin/cvreport.pl?cvterm=FBbt:00000021"
<http://purl.obolibrary.org/obo/UBERON_0000046>	<http://en.wikipedia.org/wiki/Stemma>
<http://purl.obolibrary.org/obo/BSPO_0000078>	"FBql:00005853"
<http://purl.obolibrary.org/obo/BSPO_0000071>	"FBql:00005848"
<http://purl.obolibrary.org/obo/UBERON_6007284>	"FBbt:00007284"
<http://purl.obolibrary.org/obo/UBERON_0001134>	"NCIT:C13050"
<http://purl.obolibrary.org/obo/UBERON_0001134>	"Wikipedia:Skeletal_striated_muscle"
<http://purl.obolibrary.org/obo/UBERON_0001134>	"MA:0002439"
<http://purl.obolibrary.org/obo/UBERON_0001134>	"EMAPA:32716"
<http://purl.obolibrary.org/obo/UBERON_0001134>	"SCTID:426215008"
<http://purl.obolibrary.org/obo/UBERON_0001134>	<http://linkedlifedata.com/resource/umls/id/C0242692>
<http://purl.obolibrary.org/obo/UBERON_0001134>	"FMA:14069"
<http://purl.obolibrary.org/obo/UBERON_0001134>	<http://en.wikipedia.org/wiki/Skeletal_striated_muscle>
<http://purl.obolibrary.org/obo/UBERON_0001134>	"UMLS:C0242692"
<http://purl.obolibrary.org/obo/UBERON_0001134>	<http://www.snomedbrowser.com/Codes/Details/426215008>
<http://purl.obolibrary.org/obo/PATO_0002021>	"Image:http://upload.wikimedia.org/wikipedia/commons/d/d2/Cone_3d.png"
<http://purl.obolibrary.org/obo/BSPO_0000377>	"FBql:00005852"
